fecha,grano,sector,campaña,compras_semanales,total_comprado_acumulado,precio_hecho,a_fijar,fijado,saldo_a_fijar
31/07/2019,girasol,Industria,19/20,12200,119300,78100,41200,9500,31700
31/07/2019,maíz,Exportador,19/20,670400,5456100,4236400,1219700,93700,1126000
31/07/2019,maíz,Industria,19/20,37100,57400,55900,1500,0,1500
31/07/2019,soja,Exportador,19/20,33500,219300,124700,94600,0,94600
31/07/2019,soja,Industria,19/20,83100,2127800,1105500,1022300,16200,1006100
31/07/2019,trigo,Exportador,19/20,498200,3553100,2270700,1282400,73900,1208500
31/07/2019,trigo,Industria,19/20,4700,48900,46000,2900,1000,1900
07/08/2019,cebada cervecera,Exportador,19/20,2400,14800,14800,0,0,0
07/08/2019,cebada cervecera,Industria,19/20,100,28000,24900,3100,0,3100
07/08/2019,cebada forrajera,Exportador,19/20,1400,11000,6800,4200,0,4200
07/08/2019,girasol,Exportador,19/20,0,1200,1200,0,0,0
07/08/2019,girasol,Industria,19/20,9200,128500,81400,47100,10000,37100
07/08/2019,maíz,Exportador,19/20,137800,5358800,4197800,1161000,93700,1067300
07/08/2019,maíz,Industria,19/20,37100,57400,55900,1500,0,1500
07/08/2019,soja,Exportador,19/20,22500,236500,127100,109400,9700,99700
07/08/2019,soja,Industria,19/20,61000,2188800,1125700,1063100,16200,1046900.0000000001
07/08/2019,trigo,Exportador,19/20,92500,3510200,2305400,1204800,75100,1129700
07/08/2019,trigo,Industria,19/20,2000,50900,47700,3200,1000,2200
14/08/2019,cebada cervecera,Exportador,19/20,13500,28300,26300,2000,0,2000
14/08/2019,cebada cervecera,Industria,19/20,100,28000,24900,3100,0,3100
14/08/2019,cebada forrajera,Exportador,19/20,800,11800,6800,5000,0,5000
14/08/2019,girasol,Exportador,19/20,100,1300,1200,100,0,100
14/08/2019,girasol,Industria,19/20,17500,146000,83500,62500,10000,52500
14/08/2019,maíz,Exportador,19/20,434400,5793200,4283100,1510100,97000,1413100
14/08/2019,maíz,Industria,19/20,37100,57400,55900,1500,0,1500
14/08/2019,soja,Exportador,19/20,28700,265200,149900,115300,10200,105100
14/08/2019,soja,Industria,19/20,306900,2495700,1152200,1343500,19400,1324100
14/08/2019,trigo,Exportador,19/20,104200,3614400,2384500,1229900,76000,1153900
14/08/2019,trigo,Industria,19/20,700,51600,48400,3200,1000,2200
21/08/2019,cebada cervecera,Exportador,19/20,3300,31600,29600,2000,0,2000
21/08/2019,cebada cervecera,Industria,19/20,100,28000,24900,3100,0,3100
21/08/2019,cebada forrajera,Exportador,19/20,1800,13600,8400,5200,0,5200
21/08/2019,girasol,Exportador,19/20,0,1300,1200,100,0,100
21/08/2019,girasol,Industria,19/20,14700,160700,86200,74500,10000,64500
21/08/2019,maíz,Exportador,19/20,558100,6351300,4410900,1940400,106600,1833800
21/08/2019,maíz,Industria,19/20,37100,57400,55900,1500,0,1500
21/08/2019,soja,Exportador,19/20,45300,310500,176200,134300,10500,123800
21/08/2019,soja,Industria,19/20,161700,2657400,1220400,1437000,22900,1414100
21/08/2019,trigo,Exportador,19/20,196300,3810700,2479300,1331400,81300,1250100
21/08/2019,trigo,Industria,19/20,1800,53400,50200,3200,1000,2200
28/08/2019,cebada cervecera,Exportador,19/20,22800,54400,52400,2000,0,2000
28/08/2019,cebada cervecera,Industria,19/20,0,43800,33000,10800,300,10500
28/08/2019,cebada forrajera,Exportador,19/20,7800,21400,13700,7700,0,7700
28/08/2019,girasol,Exportador,19/20,0,1300,1200,100,0,100
28/08/2019,girasol,Industria,19/20,18400,179100,98000,81100,13900,67200
28/08/2019,maíz,Exportador,19/20,716200,7067500,4465200,2602300,122500,2479800
28/08/2019,maíz,Industria,19/20,4600,62000,59100,2900,0,2900
28/08/2019,soja,Exportador,19/20,127900,438400,241700,196700,13300,183400
28/08/2019,soja,Industria,19/20,261200,2918600,1344500,1574100,27200,1546900
28/08/2019,trigo,Exportador,19/20,346500,4157200,2699100,1458100,90100,1368000
28/08/2019,trigo,Industria,19/20,400,53800,50600,3200,1000,2200
04/09/2019,cebada cervecera,Exportador,19/20,7900,62300,60300,2000,0,2000
04/09/2019,cebada cervecera,Industria,19/20,0,43800,33000,10800,300,10500
04/09/2019,cebada forrajera,Exportador,19/20,12500,33900,24100,9800,0,9800
04/09/2019,girasol,Exportador,19/20,0,1300,1200,100,0,100
04/09/2019,girasol,Industria,19/20,17100,196200,109400,86800,14100,72700
04/09/2019,maíz,Exportador,19/20,719200,7786700,4560200,3226500,125000,3101500
04/09/2019,maíz,Industria,19/20,4600,62000,59100,2900,0,2900
04/09/2019,soja,Exportador,19/20,289700,728100,300400,427700,13700,414000
04/09/2019,soja,Industria,19/20,215300,3133900,1398200,1735700,31700,1704000
04/09/2019,trigo,Exportador,19/20,345500,4502700,2776100,1726600,91000,1635600
04/09/2019,trigo,Industria,19/20,900,54700,51500,3200,1000,2200
11/09/2019,cebada cervecera,Exportador,19/20,10900,73200,71200,2000,0,2000
11/09/2019,cebada cervecera,Industria,19/20,0,43800,33000,10800,300,10500
11/09/2019,cebada forrajera,Exportador,19/20,7200,41100,30900,10200,0,10200
11/09/2019,girasol,Exportador,19/20,0,1300,1200,100,0,100
11/09/2019,girasol,Industria,19/20,6000,202200,115400,86800,16600,70200
11/09/2019,maíz,Exportador,19/20,866300,8653000,4864100,3788900,145000,3643900
11/09/2019,maíz,Industria,19/20,4600,62000,59100,2900,0,2900
11/09/2019,soja,Exportador,19/20,208500,911900,321700,590200,200,590000
11/09/2019,soja,Industria,19/20,120400,3279000,1432800,1846200,50900,1795300
11/09/2019,trigo,Exportador,19/20,631800,5134500,3029500,2105000,102700,2002300
11/09/2019,trigo,Industria,19/20,7700,62400,58200,4200,1000,3200
18/09/2019,cebada cervecera,Exportador,19/20,3400,76600,74600,2000,0,2000
18/09/2019,cebada cervecera,Industria,19/20,0,43800,33000,10800,300,10500
18/09/2019,cebada forrajera,Exportador,19/20,3000,44100,33500,10600,0,10600
18/09/2019,girasol,Exportador,19/20,0,1300,1200,100,0,100
18/09/2019,girasol,Industria,19/20,15700,217900,128600,89300,16600,72700
18/09/2019,maíz,Exportador,19/20,353600,9006600,5109000,3897600,162300,3735300
18/09/2019,maíz,Industria,19/20,4600,62000,59100,2900,0,2900
18/09/2019,soja,Exportador,19/20,231700,1143600,540400,603200,39300,563900
18/09/2019,soja,Industria,19/20,376600,3655600,1654600,2001000,70800,1930200
18/09/2019,trigo,Exportador,19/20,284900,5419400,3271800,2147600,123700,2023900
18/09/2019,trigo,Industria,19/20,4000,66400,61400,5000,2200,2800
25/09/2019,cebada cervecera,Exportador,19/20,6200,82800,80800,2000,0,2000
25/09/2019,cebada cervecera,Industria,19/20,0,43800,33000,10800,300,10500
25/09/2019,cebada forrajera,Exportador,19/20,1100,45200,34600,10600,0,10600
25/09/2019,girasol,Exportador,19/20,0,1300,1200,100,0,100
25/09/2019,girasol,Industria,19/20,11700,229600,139100,90500,17300,73200
25/09/2019,maíz,Exportador,19/20,677800,9684400,5370400,4314000,190500,4123500
25/09/2019,maíz,Industria,19/20,4600,62000,59100,2900,0,2900
25/09/2019,soja,Exportador,19/20,99800,1243400,627400,616000,54600,561400
25/09/2019,soja,Industria,19/20,152400,3808000,1703900,2104100,77500,2026600
25/09/2019,trigo,Exportador,19/20,400100,5819500,3567000,2252500,163100,2089400
25/09/2019,trigo,Industria,19/20,18000,84400,71300,13100,2200,10900
02/10/2019,cebada cervecera,Exportador,19/20,3400,86200,84200,2000,0,2000
02/10/2019,cebada cervecera,Industria,19/20,0,68300,39200,29100,300,28800
02/10/2019,cebada forrajera,Exportador,19/20,17400,62600,51500,11100,400,10700
02/10/2019,girasol,Exportador,19/20,0,1300,1200,100,0,100
02/10/2019,girasol,Industria,19/20,27300,256899.99999999997,150300,106600,17500,89100
02/10/2019,maíz,Exportador,19/20,554700,10239100,5780300,4458800,201700,4257100
02/10/2019,maíz,Industria,19/20,7500,69500,64800,4700,0,4700
02/10/2019,soja,Exportador,19/20,278500,1521900,883400,638500,78600,559900
02/10/2019,soja,Industria,19/20,190700,3998700,1827300,2171400,98800,2072600
02/10/2019,trigo,Exportador,19/20,299200,6118700,3785400,2333300,185700,2147600
02/10/2019,trigo,Industria,19/20,10100,94500,79700,14800,2700,12100
09/10/2019,cebada cervecera,Exportador,19/20,5100,91300,89300,2000,0,2000
09/10/2019,cebada cervecera,Industria,19/20,0,68300,39200,29100,300,28800
09/10/2019,cebada forrajera,Exportador,19/20,6800,69400,58100,11300,400,10900
09/10/2019,girasol,Exportador,19/20,1300,2600,2500,100,0,100
09/10/2019,girasol,Industria,19/20,10100,267000,158800,108200,17500,90700
09/10/2019,maíz,Exportador,19/20,502400,10741500,6122900,4618600,216200,4402400
09/10/2019,maíz,Industria,19/20,7500,69500,64800,4700,0,4700
09/10/2019,soja,Exportador,19/20,108100,1625200,984300,640900,86500,554400
09/10/2019,soja,Industria,19/20,108700,4112200,1865600,2246600,110100,2136500
09/10/2019,trigo,Exportador,19/20,351200,6469900,4080000,2389900,200600,2189300
09/10/2019,trigo,Industria,19/20,32800,127300,103500,23800,3200,20600
16/10/2019,cebada cervecera,Exportador,19/20,3300,94600,92600,2000,0,2000
16/10/2019,cebada cervecera,Industria,19/20,0,68300,39200,29100,300,28800
16/10/2019,cebada forrajera,Exportador,19/20,1900,71300,60000,11300,900,10400
16/10/2019,girasol,Exportador,19/20,600,3200,3100,100,0,100
16/10/2019,girasol,Industria,19/20,9800,276800,168600,108200,19500,88700
16/10/2019,maíz,Exportador,19/20,171000,10912500,6250900,4661600,223200,4438400
16/10/2019,maíz,Industria,19/20,7500,69500,64800,4700,0,4700
16/10/2019,soja,Exportador,19/20,106600,1731800,1071900,659900,97200,562700
16/10/2019,soja,Industria,19/20,56600,4168800,1901700,2267100,112100,2155000
16/10/2019,trigo,Exportador,19/20,373400,6843300,4443400,2399900,234700,2165200
16/10/2019,trigo,Industria,19/20,35200,162500,132800,29700,8500,21200
23/10/2019,cebada cervecera,Exportador,19/20,6800,101400,99400,2000,0,2000
23/10/2019,cebada cervecera,Industria,19/20,0,68300,39200,29100,300,28800
23/10/2019,cebada forrajera,Exportador,19/20,3200,74500,63200,11300,900,10400
23/10/2019,girasol,Exportador,19/20,100,3300,3200,100,0,100
23/10/2019,girasol,Industria,19/20,24200,301000,188000,113000,24500,88500
23/10/2019,maíz,Exportador,19/20,456000,11368500,6582100,4786400,301600,4484800
23/10/2019,maíz,Industria,19/20,7500,69500,64800,4700,0,4700
23/10/2019,soja,Exportador,19/20,442100,2173900,1491800,682100,114400,567700
23/10/2019,soja,Industria,19/20,151000,4319800,2011700,2308100,157100,2151000
23/10/2019,trigo,Exportador,19/20,550600,7393900,4973500,2420400,276400,2144000
23/10/2019,trigo,Industria,19/20,33700,196200,166100,30100,9500,20600
30/10/2019,cebada cervecera,Exportador,19/20,14800,116200,114200,2000,0,2000
30/10/2019,cebada cervecera,Industria,19/20,0,169800,92200,77600,4700,72900
30/10/2019,cebada forrajera,Exportador,19/20,800,75300,64000,11300,900,10400
30/10/2019,girasol,Exportador,19/20,0,3300,3200,100,0,100
30/10/2019,girasol,Industria,19/20,17600,318600,203700,114900,26400,88500
30/10/2019,maíz,Exportador,19/20,915000,12283500,7271200,5012300,429200,4583100
30/10/2019,maíz,Industria,19/20,25400,94900,84500,10400,0,10400
30/10/2019,soja,Exportador,19/20,429600,2603500,1775800,827700,142600,685100
30/10/2019,soja,Industria,19/20,275200,4595000,2237400,2357600,272200,2085400
30/10/2019,trigo,Exportador,19/20,364800,7758700,5224800,2533900,301900,2232000
30/10/2019,trigo,Industria,19/20,66600,262800,215900,46900,11000,35900
06/11/2019,cebada cervecera,Exportador,19/20,5800,122000,120000,2000,0,2000
06/11/2019,cebada cervecera,Industria,19/20,0,169800,92200,77600,4700,72900
06/11/2019,cebada forrajera,Exportador,19/20,14800,90100,78400,11700,900,10800
06/11/2019,girasol,Exportador,19/20,4000,7300,3200,4100,0,4100
