Date,Darsenas y Bs As,Puertos de Necochea,Puertos-B.Blanca,Rosario y Zona
"may 20, 2019",149,20,213,64
"may 21, 2019",114,39,303,127
"may 22, 2019",122,68,293,112
"may 23, 2019",164,72,364,116
"may 24, 2019",156,109,362,202
"may 27, 2019",149,140,209,85
"may 28, 2019",153,69,211,163
"may 29, 2019",85,0,0,7
"may 30, 2019",128,40,370,269
"may 31, 2019",139,51,403,239
"jun 1, 2019",36,8,186,241
"jun 3, 2019",190,38,341,93
"jun 4, 2019",124,55,360,235
"jun 5, 2019",141,59,435,277
"jun 6, 2019",140,51,375,162
"jun 7, 2019",204,87,362,189
"jun 8, 2019",24,12,42,83
"jun 10, 2019",170,15,207,128
"jun 11, 2019",129,33,233,180
"jun 12, 2019",68,22,326,206
"jun 13, 2019",104,20,161,162
"jun 14, 2019",107,13,168,176
"jun 15, 2019",0,4,3,41
"jun 18, 2019",99,20,112,115
"jun 19, 2019",91,33,67,108
"jun 21, 2019",127,51,132,144
"jun 22, 2019",38,5,45,63
"jun 24, 2019",125,41,148,88
"jun 25, 2019",150,88,293,185
"jun 26, 2019",148,71,309,199
"jun 27, 2019",137,81,343,271
"jun 28, 2019",163,112,418,88
"jun 29, 2019",8,5,94,70
"jul 1, 2019",128,61,229,121
"jul 2, 2019",131,70,301,197
"jul 3, 2019",187,105,213,147
"jul 4, 2019",167,54,224,139
"jul 5, 2019",175,49,269,153
"jul 6, 2019",45,10,26,112
"jul 8, 2019",134,25,2,68
"jul 10, 2019",131,40,121,75
"jul 11, 2019",139,88,182,169
"jul 12, 2019",143,86,292,166
"jul 13, 2019",8,39,80,83
"jul 15, 2019",129,42,100,111
"jul 16, 2019",114,80,110,161
"jul 17, 2019",91,96,161,179
"jul 18, 2019",140,139,125,279
"jul 19, 2019",151,95,122,290
"jul 20, 2019",16,31,15,136
"jul 22, 2019",112,40,62,38
"jul 23, 2019",110,47,101,93
"jul 24, 2019",128,60,139,89
"jul 25, 2019",104,89,211,78
"jul 26, 2019",85,75,183,48
"jul 27, 2019",8,15,58,30
"jul 29, 2019",120,60,125,29
"jul 30, 2019",104,62,181,65
"jul 31, 2019",94,87,191,136
"ago 1, 2019",73,102,125,123
"ago 2, 2019",86,96,262,146
"ago 3, 2019",9,64,132,105
"ago 5, 2019",94,61,177,145
"ago 6, 2019",120,59,221,323
"ago 7, 2019",110,136,227,113
"ago 8, 2019",91,96,242,100
"ago 9, 2019",93,0,221,80
"ago 10, 2019",13,15,69,22
"ago 12, 2019",92,15,251,70
"ago 13, 2019",69,47,284,176
"ago 14, 2019",77,50,290,67
"ago 15, 2019",80,45,205,83
"ago 16, 2019",85,22,148,72
"ago 17, 2019",0,0,0,5
"ago 19, 2019",18,0,41,14
"ago 20, 2019",77,20,145,22
"ago 21, 2019",63,39,123,60
"ago 22, 2019",81,52,158,63
"ago 23, 2019",108,52,217,57
"ago 24, 2019",5,0,6,64
"ago 26, 2019",33,32,103,51
"ago 27, 2019",47,57,153,80
"ago 28, 2019",80,53,152,50
"ago 29, 2019",70,53,344,100
"ago 30, 2019",38,41,125,123
"ago 31, 2019",2,33,41,39
"sep 2, 2019",73,27,50,30
"sep 3, 2019",60,33,89,75
"sep 4, 2019",47,41,130,30
"sep 5, 2019",93,56,66,131
"sep 6, 2019",94,50,69,81
"sep 7, 2019",9,30,0,42
"sep 9, 2019",81,12,258,75
"sep 10, 2019",73,26,177,92
"sep 11, 2019",78,25,212,40
"sep 12, 2019",73,26,226,81
"sep 13, 2019",82,32,236,73
"sep 14, 2019",5,0,60,28
"sep 16, 2019",26,40,203,111
"sep 17, 2019",70,50,274,106
"sep 18, 2019",79,47,284,71
